group,value,label
2007,74.4,Ketchikan
2008,33.7,Ketchikan
2009,8.2,Ketchikan
2010,68.8,Ketchikan
2011,35.7,Ketchikan
2012,55.7,Ketchikan
2013,-46.1,Ketchikan
2014,6.5,Ketchikan
1964,0.0,Key West
1965,23.3,Key West
1966,60.2,Key West
1967,59.2,Key West
1968,29.8,Key West
1969,48.5,Key West
1970,50.1,Key West
1971,51.9,Key West
1972,94.4,Key West
1973,134.0,Key West
1974,95.3,Key West
1975,107.9,Key West
1976,46.6,Key West
1977,71.9,Key West
1978,92.1,Key West
1979,92.0,Key West
1980,97.1,Key West
1981,92.0,Key West
1982,103.7,Key West
1983,91.2,Key West
1984,105.7,Key West
1985,109.1,Key West
1986,144.7,Key West
1987,119.1,Key West
1988,100.3,Key West
1989,83.3,Key West
1990,100.1,Key West
1991,164.7,Key West
1992,148.5,Key West
1993,140.3,Key West
1994,141.2,Key West
1995,166.8,Key West
1996,85.6,Key West
1997,127.9,Key West
1998,123.4,Key West
1999,176.6,Key West
2000,155.3,Key West
2001,117.2,Key West
2002,151.0,Key West
2003,136.0,Key West
2004,133.5,Key West
2005,160.8,Key West
2006,143.5,Key West
2007,176.2,Key West
2008,179.4,Key West
2009,171.8,Key West
2010,165.5,Key West
2011,160.7,Key West
2012,205.1,Key West
2013,215.5,Key West
2014,229.5,Key West
1964,0.0,La Jolla
1965,65.1,La Jolla
1966,76.5,La Jolla
1967,94.3,La Jolla
1968,56.3,La Jolla
1969,75.4,La Jolla
1970,49.4,La Jolla
1971,24.6,La Jolla
1972,117.2,La Jolla
1973,34.1,La Jolla
1974,49.4,La Jolla
1975,22.5,La Jolla
1976,82.8,La Jolla
1977,65.4,La Jolla
1978,108.6,La Jolla
1979,80.9,La Jolla
1980,84.4,La Jolla
1981,82.8,La Jolla
1982,119.5,La Jolla
1983,177.4,La Jolla
1984,123.4,La Jolla
1985,83.1,La Jolla
1986,100.2,La Jolla
1987,118.5,La Jolla
1988,79.7,La Jolla
1989,94.4,La Jolla
1990,139.7,La Jolla
1991,131.2,La Jolla
1992,177.1,La Jolla
1993,146.9,La Jolla
1994,98.2,La Jolla
1995,110.0,La Jolla
1996,101.9,La Jolla
1997,206.7,La Jolla
1998,145.7,La Jolla
1999,73.0,La Jolla
2000,95.0,La Jolla
2001,91.8,La Jolla
2002,99.1,La Jolla
2003,122.3,La Jolla
2004,143.9,La Jolla
2005,138.0,La Jolla
2006,118.1,La Jolla
2008,122.0,La Jolla
2009,134.3,La Jolla
2010,118.7,La Jolla
2011,138.5,La Jolla
2012,168.2,La Jolla
2013,153.2,La Jolla
2014,236.6,La Jolla
1964,0.0,Lewes
1965,5.3,Lewes
1966,-3.6,Lewes
1967,25.6,Lewes
1968,-16.8,Lewes
1969,87.4,Lewes
1970,85.4,Lewes
1971,76.2,Lewes
1972,115.5,Lewes
1973,136.6,Lewes
1974,57.4,Lewes
1975,97.8,Lewes
1976,22.1,Lewes
1977,4.8,Lewes
1978,70.7,Lewes
1979,51.9,Lewes
1980,44.1,Lewes
1981,46.6,Lewes
1982,68.0,Lewes
1983,147.1,Lewes
1984,122.9,Lewes
1985,81.6,Lewes
1986,92.1,Lewes
1987,137.8,Lewes
1988,61.9,Lewes
1989,75.1,Lewes
1990,59.2,Lewes
1991,110.3,Lewes
1992,124.8,Lewes
1993,137.0,Lewes
1994,91.2,Lewes
1995,110.1,Lewes
1996,171.2,Lewes
1997,161.2,Lewes
1998,202.7,Lewes
1999,156.5,Lewes
2000,128.5,Lewes
2001,137.0,Lewes
2002,120.2,Lewes
2003,162.4,Lewes
2004,157.6,Lewes
2005,217.3,Lewes
2006,189.4,Lewes
2007,142.5,Lewes
2008,174.2,Lewes
2009,231.7,Lewes
2010,245.4,Lewes
2011,242.4,Lewes
2012,229.6,Lewes
2013,202.3,Lewes
2014,222.4,Lewes
1964,0.0,Los Angeles
1965,54.9,Los Angeles
1966,46.8,Los Angeles
1967,33.5,Los Angeles
1968,29.2,Los Angeles
1969,54.9,Los Angeles
1970,4.0,Los Angeles
1971,18.1,Los Angeles
1972,67.6,Los Angeles
1973,23.5,Los Angeles
1974,19.4,Los Angeles
1975,1.3,Los Angeles
1976,61.3,Los Angeles
1977,48.6,Los Angeles
1978,72.3,Los Angeles
1979,59.6,Los Angeles
1980,58.2,Los Angeles
1981,45.6,Los Angeles
1982,81.0,Los Angeles
1983,141.1,Los Angeles
1984,86.9,Los Angeles
1985,38.1,Los Angeles
1986,54.6,Los Angeles
1987,69.4,Los Angeles
1988,9.0,Los Angeles
1989,20.9,Los Angeles
1990,55.8,Los Angeles
1991,61.5,Los Angeles
1992,129.9,Los Angeles
1993,115.1,Los Angeles
1994,81.5,Los Angeles
1995,74.0,Los Angeles
1996,54.3,Los Angeles
1997,149.2,Los Angeles
1998,93.7,Los Angeles
1999,22.4,Los Angeles
2000,42.2,Los Angeles
2001,56.6,Los Angeles
2002,60.1,Los Angeles
2003,74.7,Los Angeles
2004,89.4,Los Angeles
2005,83.2,Los Angeles
2006,82.2,Los Angeles
2007,47.4,Los Angeles
2008,87.1,Los Angeles
2009,97.9,Los Angeles
2010,75.9,Los Angeles
2011,69.4,Los Angeles
2012,89.1,Los Angeles
2013,84.5,Los Angeles
2014,151.9,Los Angeles
1964,0.0,Midway Is. (Sand Is.)
1965,-25.3,Midway Is. (Sand Is.)
1966,-71.7,Midway Is. (Sand Is.)
1967,-60.1,Midway Is. (Sand Is.)
1968,-29.7,Midway Is. (Sand Is.)
1969,-118.0,Midway Is. (Sand Is.)
1970,-63.3,Midway Is. (Sand Is.)
1971,-37.2,Midway Is. (Sand Is.)
1972,-111.5,Midway Is. (Sand Is.)
